City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Alofi,NU,78.69,light rain,-19.0595,-169.9187,Taloa Heights
3,Puerto Ayora,EC,73.36,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
5,Whithorn,JM,82.44,overcast clouds,18.2604,-78.0378,Sunset Heal
13,Atuona,PF,77.54,clear sky,-9.8,-139.0333,Villa Enata
14,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
18,Rikitea,PF,72.59,clear sky,-23.1203,-134.9692,People ThankYou
25,Kapaa,US,71.19,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
26,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
27,Garowe,SO,75.25,broken clouds,8.4054,48.4845,Curubo Hotel
28,Isangel,VU,72.82,overcast clouds,-19.55,169.2667,Tanna Lodge
31,Arraial Do Cabo,BR,76.86,light intensity drizzle,-22.9661,-42.0278,Pousada Porto Praia
33,Santa Rosa,PH,82.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
34,Daund,IN,75.74,overcast clouds,18.4667,74.6,Kende Wada
36,Bengkulu,ID,75.36,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
38,Sinnamary,GF,83.17,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
40,Chabahar,IR,74.39,clear sky,25.2919,60.643,هتل گدروشیا
45,Humaita,BR,79.48,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
47,Lompoc,US,74.08,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
49,Hilo,US,77.29,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
50,Itarema,BR,88.99,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
54,Asaba,NG,84.13,broken clouds,6.2006,6.7338,Crimson Suite Hotels
58,Butaritari,KI,80.64,light rain,3.0707,172.7902,Isles Sunset Lodge
60,Rio Grande,BR,77.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
62,Georgetown,MY,82.33,light rain,5.4112,100.3354,Cititel Penang
64,Nueva Gerona,CU,81.39,scattered clouds,21.8833,-82.8,Villa Gerona
67,Tual,ID,83.8,broken clouds,-5.6667,132.75,Grand Vilia Hotel
71,Cabo San Lucas,MX,81.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
72,Castro,BR,70.86,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
73,Santa Fe,AR,89.91,clear sky,-31.6333,-60.7,Conquistador Hotel
78,Catuday,PH,79.97,few clouds,16.2923,119.8062,Benjie's Kubo & Cottages
82,Kavieng,PG,80.91,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
83,Lucea,JM,84.85,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
84,Alice Town,BS,77.14,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
85,Hithadhoo,MV,82.78,overcast clouds,-0.6,73.0833,Scoop Guest House
93,Pandan,PH,79.18,scattered clouds,14.0453,124.1694,Bonifacio Lodge
95,Odienne,CI,89.29,scattered clouds,9.51,-7.5692,Oustaz Vame DIAKITE
98,Ribeirao Bonito,BR,72.9,light rain,-22.0667,-48.1761,Hotel Pousada Veraneio
100,Kralendijk,BQ,87.78,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
103,Kavaratti,IN,81.28,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
105,Buala,SB,79.72,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
108,Souillac,MU,74.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
117,Nyimba,ZM,86.99,broken clouds,-14.5566,30.8149,Dali Dali Lodge
121,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
127,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
128,Makakilo City,US,74.28,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
134,Hobyo,SO,80.37,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
135,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
142,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
151,Santa Cruz,BO,86.67,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
153,Fare,PF,80.17,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
155,Sibu,MY,74.03,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
159,Saint-Philippe,RE,76.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
162,Dwarka,IN,78.44,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
169,The Valley,AI,85.86,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
173,Chanika,TZ,71.98,few clouds,-5.4167,38.0167,New Rombo Green Hotel
176,Bongaree,AU,70.21,broken clouds,-27.0797,153.1586,The Gums Anchorage
178,Cockburn Town,TC,81.43,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
181,Kattivakkam,IN,82.49,broken clouds,13.2167,80.3167,Euronova Freezer
182,Bandarbeyla,SO,78.4,overcast clouds,9.4942,50.8122,JABIR HOTEL
186,Bilma,NE,84.92,few clouds,18.6853,12.9164,Expeditions Ténére voyages
188,Madang,PG,75.87,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
190,Ewa Beach,US,75.69,clear sky,21.3156,-158.0072,Uncle Junior Robert
207,Faanui,PF,80.1,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
210,Karratha,AU,78.85,light rain,-20.7377,116.8463,ibis Styles Karratha
211,Namatanai,PG,78.53,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
212,Sorong,ID,81.57,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
215,Manggar,ID,78.51,light rain,-2.8833,108.2667,Guest Hotel
218,Victoria,HK,75.33,scattered clouds,22.2855,114.1577,Mini Hotel Central
219,Nsanje,MW,86.31,scattered clouds,-16.92,35.262,Nsanje Discovery Lodge
222,Belmonte,BR,86.5,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
225,Mudon,MM,78.75,scattered clouds,16.2578,97.7164,Motel Mudon
