City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Alofi,NU,-19.0595,-169.9187,78.69,82,44,16.82,light rain
1,Carnarvon,AU,-24.8667,113.6333,69.87,78,0,17.27,clear sky
2,Ushuaia,AR,-54.8,-68.3,51.46,58,40,31.07,scattered clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,73.36,74,39,11.03,scattered clouds
4,Ponta Do Sol,PT,32.6667,-17.1,63.72,89,33,5.3,scattered clouds
5,Whithorn,JM,18.2604,-78.0378,82.44,44,85,2.17,overcast clouds
6,Mataura,NZ,-46.1927,168.8643,56.34,62,100,7.38,overcast clouds
7,Bluff,NZ,-46.6,168.3333,54.75,84,100,8.48,overcast clouds
8,Verkhnyaya Toyma,RU,62.2349,44.9985,31.84,89,100,9.64,overcast clouds
9,Chishtian Mandi,PK,29.8,72.8667,65.97,18,0,1.23,clear sky
10,Nouna,BF,12.7333,-3.8667,98.87,9,35,8.14,scattered clouds
11,Jobner,IN,26.9667,75.3833,63.82,62,74,5.53,broken clouds
12,Vaini,TO,-21.2,-175.2,68.16,94,20,0.0,mist
13,Atuona,PF,-9.8,-139.0333,77.54,75,5,13.62,clear sky
14,Bathsheba,BB,13.2167,-59.5167,88.41,62,40,13.8,scattered clouds
15,Coquimbo,CL,-29.9533,-71.3436,60.53,82,75,10.36,broken clouds
16,East London,ZA,-33.0153,27.9116,64.06,76,51,6.98,light rain
17,Esperance,AU,-33.8667,121.9,57.15,66,100,6.2,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,72.59,66,6,8.01,clear sky
19,Bethel,US,41.3712,-73.414,47.19,52,40,3.0,scattered clouds
20,Hermanus,ZA,-34.4187,19.2345,65.89,70,1,12.35,clear sky
21,Saint George,US,37.1041,-113.5841,66.67,46,1,3.44,clear sky
22,Pevek,RU,69.7008,170.3133,-2.83,84,25,6.4,scattered clouds
23,Busselton,AU,-33.65,115.3333,55.04,76,2,11.48,clear sky
24,Cape Town,ZA,-33.9258,18.4232,66.34,57,0,18.86,clear sky
25,Kapaa,US,22.0752,-159.319,71.19,59,17,6.62,light rain
26,San Cristobal,VE,7.7669,-72.225,75.38,48,85,0.58,overcast clouds
27,Garowe,SO,8.4054,48.4845,75.25,52,59,17.43,broken clouds
28,Isangel,VU,-19.55,169.2667,72.82,91,100,19.19,overcast clouds
29,Punta Arenas,CL,-53.15,-70.9167,55.51,58,40,34.52,light rain
30,Clyde River,CA,70.4692,-68.5914,4.75,95,96,6.62,overcast clouds
31,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,88,75,8.05,light intensity drizzle
32,Hobart,AU,-42.8794,147.3294,52.02,89,90,1.01,light intensity shower rain
33,Santa Rosa,PH,14.3122,121.1114,82.11,79,78,5.57,broken clouds
34,Daund,IN,18.4667,74.6,75.74,72,100,6.02,overcast clouds
35,Barrow,US,71.2906,-156.7887,12.22,79,90,10.36,light snow
36,Bengkulu,ID,-3.8004,102.2655,75.36,88,100,3.94,overcast clouds
37,Upernavik,GL,72.7868,-56.1549,11.43,86,97,9.91,overcast clouds
38,Sinnamary,GF,5.3833,-52.95,83.17,75,41,7.11,scattered clouds
39,San Patricio,US,28.017,-97.5169,63.28,42,1,6.53,clear sky
40,Chabahar,IR,25.2919,60.643,74.39,50,0,4.14,clear sky
41,Dubuque,US,42.4833,-90.8668,34.72,59,99,12.57,overcast clouds
42,Qaanaaq,GL,77.484,-69.3632,-2.02,68,96,6.76,overcast clouds
43,Bredasdorp,ZA,-34.5322,20.0403,63.28,65,2,10.83,clear sky
44,Aban,RU,56.67,96.06,6.24,89,100,3.31,overcast clouds
45,Humaita,BR,-7.5061,-63.0208,79.48,80,97,2.06,overcast clouds
46,Constitucion,CL,-35.3333,-72.4167,65.23,64,12,6.13,few clouds
47,Lompoc,US,34.6391,-120.4579,74.08,90,90,5.75,mist
48,Gat,IL,31.61,34.7642,65.39,62,69,10.4,broken clouds
49,Hilo,US,19.7297,-155.09,77.29,84,20,8.05,few clouds
50,Itarema,BR,-2.9248,-39.9167,88.99,56,8,20.74,clear sky
51,Yar-Sale,RU,66.8333,70.8333,-12.86,98,15,9.17,few clouds
52,Mapiripan,CO,2.8892,-72.1256,90.48,44,77,8.46,broken clouds
53,Ayan,RU,56.45,138.1667,8.65,77,88,18.37,overcast clouds
54,Asaba,NG,6.2006,6.7338,84.13,69,52,3.29,broken clouds
55,Gamba,GA,-2.65,10.0,79.72,83,83,8.37,broken clouds
56,Huarmey,PE,-10.0681,-78.1522,69.53,74,36,9.71,scattered clouds
