City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tadine,NC,2021-11-18 15:25:56,-21.55,167.8833,75.15,84,63,9.17
1,Albany,US,2021-11-18 15:22:54,42.6001,-73.9662,63.18,82,74,4.0
2,New Norfolk,AU,2021-11-18 15:25:57,-42.7826,147.0587,50.76,84,91,2.55
3,Sola,VU,2021-11-18 15:25:57,-13.8833,167.55,80.76,73,8,7.52
4,Fukue,JP,2021-11-18 15:25:57,32.6881,128.8419,61.68,48,3,10.11
5,Carnarvon,AU,2021-11-18 15:25:58,-24.8667,113.6333,69.87,73,40,19.57
6,Eydhafushi,MV,2021-11-18 15:25:58,5.1033,73.0708,82.38,76,100,18.66
7,Winnemucca,US,2021-11-18 15:25:58,40.973,-117.7357,26.65,74,1,0.0
8,Sitka,US,2021-11-18 15:25:59,57.0531,-135.33,39.09,60,90,16.11
9,Kaitangata,NZ,2021-11-18 15:25:59,-46.2817,169.8464,43.79,95,40,4.7
10,Nanchital,MX,2021-11-18 15:26:00,18.0667,-94.4,73.42,94,90,0.0
11,Ushuaia,AR,2021-11-18 15:26:00,-54.8,-68.3,47.82,61,75,23.02
12,Atuona,PF,2021-11-18 15:25:59,-9.8,-139.0333,77.4,74,16,13.06
13,Emerald,AU,2021-11-18 15:26:00,-23.5333,148.1667,71.74,62,0,10.36
14,Provideniya,RU,2021-11-18 15:26:01,64.3833,-173.3,5.5,84,23,9.82
15,Flinders,AU,2021-11-18 15:26:01,-34.5833,150.8552,66.2,84,100,1.01
16,Castro,BR,2021-11-18 15:25:57,-24.7911,-50.0119,70.59,81,86,7.61
17,Pacific Grove,US,2021-11-18 15:26:02,36.6177,-121.9166,58.96,95,90,1.99
18,Butaritari,KI,2021-11-18 15:26:02,3.0707,172.7902,81.39,78,100,12.91
19,Oksfjord,NO,2021-11-18 15:26:03,70.2396,22.3479,31.12,94,92,6.6
20,Xining,CN,2021-11-18 15:26:03,36.6167,101.7667,36.54,38,99,2.35
21,Mataura,NZ,2021-11-18 15:26:04,-46.1927,168.8643,41.05,97,24,3.42
22,Campoalegre,CO,2021-11-18 15:26:04,2.6849,-75.3231,80.22,75,93,3.91
23,Rikitea,PF,2021-11-18 15:26:04,-23.1203,-134.9692,72.45,69,50,15.14
24,Svetlyy,RU,2021-11-18 15:26:04,54.675,20.1347,46.96,82,76,17.87
25,Lompoc,US,2021-11-18 15:26:05,34.6391,-120.4579,55.13,91,90,3.44
26,Saint-Philippe,RE,2021-11-18 15:26:05,-21.3585,55.7679,78.39,74,43,13.91
27,Bethel,US,2021-11-18 15:26:06,41.3712,-73.414,62.78,78,1,1.99
28,Polyarnyy,RU,2021-11-18 15:26:06,69.1989,33.4478,32.47,95,100,10.69
29,Jamestown,US,2021-11-18 15:26:07,42.097,-79.2353,47.08,96,90,7.0
30,Dikson,RU,2021-11-18 15:26:07,73.5069,80.5464,-17.09,94,50,2.75
31,Upernavik,GL,2021-11-18 15:26:08,72.7868,-56.1549,8.08,77,98,6.46
32,Banjarmasin,ID,2021-11-18 15:26:08,-3.3244,114.591,78.94,94,91,3.0
33,Harper,LR,2021-11-18 15:26:09,4.375,-7.7169,83.8,71,35,8.19
34,Nikolskoye,RU,2021-11-18 15:26:09,59.7035,30.7861,35.87,96,100,11.21
35,Kapaa,US,2021-11-18 15:26:09,22.0752,-159.319,75.18,84,20,5.75
36,Barrow,US,2021-11-18 15:26:10,71.2906,-156.7887,8.62,78,1,9.22
37,Hithadhoo,MV,2021-11-18 15:26:10,-0.6,73.0833,82.69,77,69,18.84
38,Punta Arenas,CL,2021-11-18 15:22:28,-53.15,-70.9167,50.02,53,75,24.16
39,Avarua,CK,2021-11-18 15:26:10,-21.2078,-159.775,77.05,88,40,11.5
40,Port Alfred,ZA,2021-11-18 15:26:11,-33.5906,26.891,64.69,56,15,16.96
41,Laguna,US,2021-11-18 15:26:11,38.421,-121.4238,55.22,97,90,0.0
42,Port Elizabeth,ZA,2021-11-18 15:26:11,-33.918,25.5701,68.09,59,20,14.97
43,Vostok,RU,2021-11-18 15:26:12,46.4856,135.8833,21.6,97,33,5.03
44,Busselton,AU,2021-11-18 15:26:12,-33.65,115.3333,55.04,76,70,14.47
45,Albert,FR,2021-11-18 15:27:12,50.0009,2.651,54.79,84,90,8.05
46,Laukaa,RU,2021-11-18 15:27:13,58.7372,29.8453,38.88,96,100,11.72
47,Touros,BR,2021-11-18 15:27:13,-5.1989,-35.4608,90.5,55,36,17.94
48,San Angelo,US,2021-11-18 15:27:02,31.4638,-100.437,47.95,33,1,8.99
49,Severo-Kurilsk,RU,2021-11-18 15:27:14,50.6789,156.125,31.89,66,67,7.85
50,Mahebourg,MU,2021-11-18 15:27:14,-20.4081,57.7,78.26,69,40,17.27
51,Kerewan,GM,2021-11-18 15:27:15,13.4898,-16.0888,93.31,30,83,5.44
52,Cape Town,ZA,2021-11-18 15:25:37,-33.9258,18.4232,70.11,44,0,21.85
53,Namibe,AO,2021-11-18 15:27:15,-15.1961,12.1522,73.26,78,89,12.8
54,Hobart,AU,2021-11-18 15:24:19,-42.8794,147.3294,51.12,93,75,6.91
55,Vila Franca Do Campo,PT,2021-11-18 15:27:15,37.7167,-25.4333,66.61,62,70,6.35
56,San Cristobal,VE,2021-11-18 15:27:16,7.7669,-72.225,73.58,49,99,3.36
57,Port Augusta,AU,2021-11-18 15:27:16,-32.5,137.7667,68.7,81,99,10.4
58,Qaanaaq,GL,2021-11-18 15:27:16,77.484,-69.3632,-5.82,62,8,6.51
59,Arinos,BR,2021-11-18 15:27:17,-15.9169,-46.1056,88.2,46,87,5.35
60,Isangel,VU,2021-11-18 15:27:18,-19.55,169.2667,77.11,94,75,0.0
61,Paraiso,CR,2021-11-18 15:27:18,9.8383,-83.8656,76.87,59,69,4.99
62,Bathsheba,BB,2021-11-18 15:27:18,13.2167,-59.5167,88.41,62,40,21.85
63,Nanortalik,GL,2021-11-18 15:27:19,60.1432,-45.2371,29.73,79,94,6.44
64,Sackville,CA,2021-11-18 15:27:19,45.9188,-64.3846,41.47,95,100,10.49
65,Vila Real De Santo Antonio,PT,2021-11-18 15:27:20,37.195,-7.4177,69.75,46,9,14.56
66,Cidreira,BR,2021-11-18 15:27:20,-30.1811,-50.2056,64.92,76,100,9.19
67,Vanavara,RU,2021-11-18 15:27:21,60.34,102.2797,6.03,85,100,8.41
68,Bend,US,2021-11-18 15:26:03,44.0582,-121.3153,40.48,58,1,1.99
69,Puerto Ayora,EC,2021-11-18 15:27:21,-0.7393,-90.3518,73.36,74,85,9.62
70,Vaini,TO,2021-11-18 15:27:21,-21.2,-175.2,71.76,100,20,6.91
71,Mogadishu,SO,2021-11-18 15:27:22,2.0371,45.3438,80.82,76,44,11.07
